provider,code,game name
pp,vs10crownfire,Crown of Fire
pp,vs20mparty,Wild Hop&Drop
pp,vswaysfltdrg,Floating Dragon Megaways
pp,vs25kfruit,Aztec Blaze
pp,vs10tut,John Hunter and the Book of Tut Respin
pp,vs20mtreasure,Pirate Golden Age
pp,vswaysconcoll,Firebird Spirit
pp,vs20muertos,Muertos Multiplier Megaways
pp,vswaysstrwild,Candy Stars
pp,vs20swordofares,Sword of Ares
pp,vs10bbkir,Big Bass - Keeping it Reel
pp,vs20kraken2,Release the Kraken 2
pp,vswaysfrywld,Spin & Score Megaways
pp,vs20theights,Towering Fortunes
sw,sw_hl_965,Halloween Luck™
sw,sw_pb_965,Sky Piggies™
sw,itg_deviljokerslots,Devil Joker Slots
sw,itg_ragingbull,Raging Bull
sw,itg_prizepotpicks,Prize Pot Picks
sw,itg_legendsluck,Legend's Luck
sw,sw_fro_965,Fortunes Rising??
sw,sw_mme_965,Disco Mania Megaways™ Merge™
sw,itg_jewelbomber,Jewel Bomber
sw,itg_threegoldenwishes,3 Golden Wishes
sw,itg_moneymaskmadness,Money Mask Madness
sw,itg_fishinforwins,Fishin' For Wins
ps,wolf_power_mega,Wolf Power Megaways™
ps,ultra_fort,Ultra Fortunator: Hold and Win
ps,treasures_fire,Treasures of Fire: Scatter Pays
ps,ruby_hit,Ruby Hit: Hold and Win
ps,royal_coins_2,Royal Coins 2: Hold and Win
ps,pirate_sharky,Pirate Sharky
ps,luxor_gold,Luxor Gold: Hold and Win
ps,lion_gems,Lion Gems: Hold and Win
ps,juice_inc,Juice Inc.
ps,jokers_coins,Joker's Coins: Hold and Win
ps,diamond_fort,Diamond Fortunator: Hold and Win
ps,burning_fort,Burning Fortunator
ps,book_del_sol,Book del Sol: Multiplier
caleta,cg_paradisetrippiesnonft,Paradise Trippies Slot
em,TheLioness,The Lioness
pgsoft,pgsoft_120,The Queen's Banquet
pgsoft,pgsoft_129,Win Win Fish Prawn Crab
pgsoft,pgsoft_132,Wild Coaster
pgsoft,pgsoft_135,Wild Bounty Showdown
pgsoft,pgsoft_127,Speed Winner
pgsoft,pgsoft_130,Lucky Piggy
pgsoft,pgsoft_128,Legend of Perseus
pgsoft,pgsoft_125,Butterfly Blossom
pgsoft,pgspft_124,Battleground Royale
caleta,cg_bingoroyale,Bingo Royale
caleta,cg_fruitverse,Fruitverse
ezg,category-sedie,Sedie category
rb,rp_54,Feliz Día de los Muertos
rb,rp_56,Wizard's Spell
rt,Puss,Puss
rt,Thor,Thor
rt,YucatansMystery,Yucatan's Mystery
rt,WinEscalator,Win Escalator
rt,WildWildChest,Wild Wild Chest
rt,WildOClock,Wild O'Clock
rt,WildCatsMultiline,Wild Cats Multiline
rt,WellOfWishes,Well Of Wishes
rt,VaultofAnubis,Vault of Anubis
rt,VaultCracker,Vault Cracker
rt,TotemLightning,Totem Lightning
rt,TikiFruits,Tiki Fruits
rt,ThorsLightning,Thor's Lightning
rt,TheWildHatter,The Wild Hatter
rt,TheGreatestTrainRobbery,The Greatest Train Robbery
rt,SylvanSpirits,Sylvan Spirits
rt,SnowWildAndThe7Features,Snow Wild And The 7 Features
rt,RobinHoodsWildForest,Robin Hoods Wild Forest
rt,ReelHeist,Reel Heist
rt,RASLegend,RAS Legend
rt,PersianFortune,Persian Fortune
rt,PathofDestiny,Path of Destiny
rt,NinjaWays,Ninja Ways
rt,MysteryReelsMegaways,Mystery Reels Megaways
rt,MultiplierRiches,Multiplier Riches
rt,MegaRise,Mega Rise
rt,MegaJade,Mega Jade
rt,MegaDragon,Mega Dragon
rt,MayanGods,Mayan Gods
rt,Masquerade,Masquerade
rt,LuckyWizard,Lucky Wizard
rt,LuckyValentine,Lucky Valentine
rt,LuckyLittleDevil,Lucky Little Devil
rt,LuckyHalloween,Lucky Halloween
rt,LegendofAthena,Legend of Athena
rt,JingleBellsPowerReels,Jingle Bells Power Reels
rt,JewelScarabs,Jewel Scarabs
rt,HoardofPoseidon,Hoard of Poseidon
rt,GrandWheel,Grand Wheel
rt,GonzosQuestMegaways,Gonzos Quest Megaways
rt,GoldenTsar,Golden Tsar
rt,GoldenLeprechaunMegaways,Golden Leprechaun Megaways
rt,GoldenCryptex,Golden Cryptex
rt,GodOfWealth,God Of Wealth
rt,GemsGoneWildPowerReels,Gems Gone Wild Power Reels
rt,GemsGoneWild,Gems Gone Wild
rt,FiveStarPowerReels,Five Star Power Reels
rt,DragonsLuckPowerReels,Dragons Luck Power Reels
rt,DragonsLuck,Dragons Luck
rt,DragonsFireInfinireels,Dragon's Fire Infinireels
rt,DiceDiceDice,Dice Dice Dice
rt,DiamondBlitz,Diamond Blitz
rt,DevilsNumber,Devil's Number
rt,DaVincisMystery,Da Vinci's Mystery
rt,CrystalMirror,Crystal Mirror
rt,CrazyGenie,Crazy Genie
rt,ClashoftheBeasts,Clash of the Beasts
rt,CirquedelaFortune,Cirque de la Fortune
rt,CinderellasBall,Cinderella's Ball
rt,CashUltimate,Cash Ultimate
rt,BountyRaid,Bounty Raid
rt,Bombuster,Bombuster
rt,"Betty,BorisandBoo","Betty, Boris and Boo"
rt,AztecSpins,Aztec Spins
rt,Atlantis,Atlantis
rt,ArcadeBomb,Arcade Bomb
rt,AncientsBlessing,Ancients Blessing
rt,AgentRoyale,Agent Royale
